iter	RMSE
0	0.7026769651
1	0.6888309794
2	0.6757868805
3	0.6636114999
4	0.651811666
5	0.6408426283
6	0.6307022306
7	0.6204763769
8	0.6107712551
9	0.6017717774
10	0.5933806976
11	0.5851410297
12	0.5777225949
13	0.5708990792
14	0.5638878351
15	0.5574831633
16	0.5513850882
17	0.5455426108
18	0.5402199896
19	0.5351493311
20	0.5304005985
21	0.5257577357
22	0.5214595451
23	0.5175072019
24	0.5138327326
25	0.5102640597
26	0.5069065849
27	0.5038523233
28	0.5006832702
29	0.4978852925
30	0.4951494053
31	0.4925137278
32	0.4900593312
33	0.4878666761
34	0.485867244
35	0.4839703251
36	0.4821192883
37	0.480395413
38	0.478810362
39	0.4772907603
40	0.4759868506
41	0.4744562707
42	0.4729816703
43	0.4715765387
44	0.4703917787
45	0.4692975652
46	0.4681754133
47	0.4670399975
48	0.4659279714
49	0.4648795898
50	0.463926908
51	0.4630825384
52	0.4622068078
53	0.4615162757
54	0.4608914123
55	0.4602308229
56	0.459516354
57	0.4588234706
58	0.4582188254
59	0.4575063299
60	0.4568669665
61	0.4563299409
62	0.4558636635
63	0.4553872248
64	0.4548642857
65	0.4543135546
66	0.4538833771
67	0.4533203625
68	0.4529068093
69	0.452402385
70	0.4519318036
71	0.4515633736
72	0.4510332943
73	0.450758659
74	0.4504065244
75	0.4501613528
76	0.4498985483
77	0.4495165558
78	0.4492191766
79	0.448959967
80	0.4487297211
81	0.4484126322
82	0.4481092017
83	0.447856606
84	0.4475033018
85	0.4471831825
86	0.4469255519
87	0.4467442294
88	0.4465801735
89	0.4463562631
90	0.4461549876
91	0.4459288828
92	0.4457290787
93	0.4454362379
94	0.4452941414
95	0.4450784861
96	0.4448127411
97	0.4446156013
98	0.4444342423
99	0.444244172
100	0.4440676789
101	0.4438584213
102	0.4436233995
103	0.4434405862
104	0.4432966233
105	0.4431321687
106	0.4429404139
107	0.4427319778
108	0.4425439916
109	0.4423723669
110	0.4422207293
111	0.4420776542
112	0.4418784937
113	0.4417477556
114	0.4416330362
115	0.4415162242
116	0.4413904511
117	0.4412559454
118	0.4411477552
119	0.4410162308
120	0.4409112106
121	0.4407812848
122	0.4406772839
123	0.440580816
124	0.4404932868
125	0.4404027859
126	0.4402220649
127	0.4401037138
128	0.4399683668
129	0.4398791142
130	0.4397456461
131	0.4396352974
132	0.4394849329
133	0.439376419
134	0.4392836671
135	0.4392119356
136	0.4390706961
137	0.4389317097
138	0.4388191501
139	0.4387061176
140	0.4386245147
141	0.4385015079
142	0.4383059331
143	0.4381831386
144	0.4380757497
145	0.4380214234
146	0.4378974066
147	0.4378888449
148	0.4377841998
149	0.4376686894
150	0.4375853619
151	0.4375099571
152	0.4374377643
153	0.4373670032
154	0.4372563075
155	0.437160755
156	0.4370681228
157	0.436967652
158	0.436905307
159	0.4368165776
160	0.4367495406
161	0.4366847158
162	0.436604305
163	0.4365325972
164	0.4364680669
165	0.436424302
166	0.4363146814
167	0.4362741425
168	0.4362007923
169	0.4360883757
170	0.4360308693
171	0.435968779
172	0.4358934087
173	0.4358166562
174	0.4357590097
175	0.4356617971
