iter	Passed	Remaining
0	4	4034
1	10	4404
2	16	4551
3	22	4695
4	27	4635
5	33	4666
6	38	4661
7	44	4644
8	49	4628
9	55	4625
10	60	4633
11	66	4613
12	71	4590
13	76	4582
14	82	4596
15	87	4571
16	93	4571
17	98	4573
18	105	4595
19	110	4594
20	116	4600
21	121	4584
22	127	4592
23	133	4579
24	138	4562
25	143	4558
26	149	4558
27	154	4538
28	160	4534
29	165	4526
30	171	4523
31	177	4531
32	182	4525
33	188	4522
34	193	4517
35	199	4506
36	204	4489
37	209	4483
38	215	4471
39	220	4462
40	225	4447
41	231	4444
42	236	4440
43	242	4444
44	247	4433
45	253	4424
46	259	4425
47	264	4424
48	270	4424
49	276	4416
50	281	4408
51	286	4397
52	292	4402
53	298	4394
54	303	4382
55	308	4378
56	314	4374
57	321	4384
58	326	4383
59	332	4374
60	338	4372
61	343	4361
62	348	4350
63	353	4339
64	358	4333
65	364	4326
66	369	4323
67	375	4319
68	380	4310
69	386	4303
70	391	4298
71	396	4289
72	402	4284
73	407	4273
74	412	4265
75	418	4264
76	424	4259
77	430	4260
78	436	4258
79	442	4255
80	447	4244
81	452	4240
82	458	4238
83	463	4230
84	469	4225
85	475	4224
86	480	4217
87	486	4208
88	491	4205
89	496	4194
90	501	4186
91	507	4182
92	512	4175
93	518	4170
94	524	4164
95	529	4158
96	535	4157
97	540	4151
98	546	4142
99	551	4136
100	556	4129
101	563	4128
102	569	4129
103	574	4121
104	579	4114
105	585	4110
106	590	4102
107	596	4098
108	601	4092
109	607	4085
110	612	4076
111	618	4072
112	623	4067
113	628	4057
114	633	4051
115	639	4046
116	644	4038
117	649	4030
118	655	4026
119	660	4016
120	665	4008
121	670	4003
122	676	3997
123	681	3990
124	687	3985
125	692	3977
126	697	3972
127	703	3966
128	708	3960
129	713	3952
130	719	3947
131	724	3939
132	729	3933
133	734	3927
134	740	3922
135	745	3913
136	751	3910
137	756	3903
138	762	3898
139	767	3892
140	773	3890
141	779	3885
142	785	3881
143	790	3875
144	796	3870
145	801	3865
146	807	3861
147	809	3840
148	815	3834
149	820	3827
150	825	3819
151	830	3812
152	835	3807
153	841	3801
154	846	3796
155	852	3791
156	857	3784
157	862	3776
158	867	3770
159	873	3766
160	878	3761
161	884	3754
162	889	3748
163	894	3741
164	900	3737
165	905	3730
166	910	3723
167	915	3714
168	920	3711
169	926	3707
170	932	3701
171	937	3695
172	942	3689
173	948	3685
174	954	3680
175	959	3674
176	965	3670
177	970	3664
178	975	3658
179	982	3655
180	988	3653
181	993	3645
182	998	3640
183	1004	3635
184	1009	3629
185	1014	3622
186	1020	3616
187	1025	3611
188	1031	3606
189	1036	3599
190	1041	3594
191	1047	3589
192	1052	3583
193	1058	3577
194	1063	3571
195	1068	3564
196	1074	3561
197	1079	3555
198	1085	3551
199	1090	3544
200	1095	3537
201	1101	3532
202	1106	3526
203	1112	3521
204	1118	3518
205	1124	3514
206	1129	3510
207	1135	3504
208	1140	3499
209	1146	3494
210	1152	3488
211	1157	3482
212	1162	3476
213	1168	3471
214	1173	3465
215	1179	3460
216	1184	3456
217	1190	3451
218	1197	3449
219	1203	3445
220	1208	3438
221	1258	3561
222	1264	3553
223	1269	3546
224	1275	3541
225	1280	3535
226	1285	3529
227	1291	3521
228	1296	3515
229	1302	3510
230	1308	3505
231	1313	3498
232	1319	3494
233	1322	3480
234	1327	3473
235	1332	3466
236	1338	3461
237	1343	3454
238	1348	3448
239	1354	3442
240	1359	3435
241	1364	3428
242	1369	3422
243	1375	3416
244	1380	3409
245	1386	3403
246	1392	3398
247	1397	3392
248	1402	3386
249	1408	3379
250	1413	3373
251	1418	3366
252	1423	3359
253	1429	3353
254	1434	3346
255	1439	3340
256	1444	3333
257	1450	3327
258	1455	3321
259	1461	3315
260	1466	3308
261	1471	3302
262	1476	3295
263	1481	3288
264	1486	3282
265	1492	3277
266	1498	3272
267	1503	3265
268	1508	3259
269	1513	3252
270	1519	3247
271	1524	3239
272	1529	3233
273	1535	3227
274	1540	3221
275	1546	3216
276	1552	3211
277	1557	3205
278	1563	3199
279	1568	3193
280	1574	3187
281	1579	3181
282	1585	3175
283	1590	3169
284	1595	3162
285	1600	3156
286	1605	3149
287	1610	3142
288	1615	3136
289	1621	3130
290	1627	3125
291	1632	3119
292	1637	3113
293	1643	3107
294	1648	3101
295	1654	3096
296	1659	3090
297	1665	3084
298	1670	3079
299	1676	3072
300	1681	3067
301	1687	3061
302	1692	3055
303	1698	3049
304	1703	3044
305	1709	3038
306	1714	3033
307	1720	3027
308	1726	3022
309	1731	3015
310	1736	3010
311	1742	3004
312	1747	2998
313	1752	2991
314	1757	2984
315	1762	2978
316	1767	2972
317	1773	2966
318	1778	2960
319	1784	2955
320	1790	2950
321	1795	2944
322	1800	2938
323	1806	2932
324	1811	2926
325	1817	2921
326	1823	2915
327	1828	2910
328	1834	2905
329	1840	2899
330	1845	2893
331	1850	2887
332	1856	2882
333	1861	2876
334	1867	2870
335	1872	2864
336	1878	2858
337	1883	2853
338	1888	2847
339	1894	2841
340	1899	2835
341	1904	2828
342	1909	2823
343	1915	2816
344	1920	2811
345	1926	2805
346	1931	2799
347	1936	2793
348	1942	2788
349	1947	2781
350	1952	2776
351	1958	2770
352	1963	2764
353	1969	2759
354	1974	2753
355	1981	2749
356	1986	2742
357	1991	2736
358	1997	2732
359	2003	2726
360	2008	2721
361	2015	2716
362	2020	2710
363	2025	2704
364	2030	2698
365	2037	2693
366	2042	2687
367	2047	2681
368	2052	2675
369	2058	2670
370	2064	2665
371	2070	2659
372	2075	2654
373	2081	2648
374	2086	2643
375	2092	2637
376	2098	2632
377	2103	2627
378	2109	2621
379	2115	2616
380	2121	2611
381	2126	2605
382	2132	2599
383	2137	2594
384	2143	2588
385	2149	2583
386	2154	2578
387	2160	2572
388	2165	2566
389	2170	2560
390	2176	2555
391	2181	2549
392	2187	2543
393	2192	2537
394	2197	2531
395	2202	2524
396	2207	2519
397	2213	2513
398	2219	2508
399	2225	2503
400	2230	2497
401	2236	2492
402	2241	2486
403	2246	2480
404	2252	2474
405	2257	2468
406	2263	2463
407	2268	2458
408	2274	2452
409	2279	2446
410	2285	2441
411	2290	2435
412	2296	2429
413	2301	2423
414	2307	2418
415	2312	2412
416	2318	2407
417	2323	2400
418	2328	2395
419	2333	2388
420	2339	2383
421	2345	2378
422	2350	2372
423	2356	2367
424	2361	2361
425	2367	2356
426	2372	2350
427	2377	2344
428	2383	2338
429	2388	2332
430	2393	2326
431	2399	2321
432	2404	2315
433	2409	2309
434	2414	2303
435	2419	2297
436	2425	2292
437	2430	2286
438	2436	2281
439	2441	2275
440	2447	2270
441	2452	2263
442	2457	2258
443	2464	2253
444	2469	2247
445	2474	2241
446	2480	2235
447	2485	2230
448	2491	2224
449	2496	2219
450	2502	2213
451	2507	2207
452	2512	2202
453	2518	2196
454	2523	2190
455	2529	2185
456	2535	2180
457	2541	2174
458	2546	2169
459	2552	2164
460	2558	2158
461	2564	2153
462	2569	2147
463	2574	2142
464	2580	2136
465	2585	2130
466	2590	2124
467	2596	2119
468	2602	2114
469	2608	2109
470	2614	2103
471	2619	2097
472	2624	2091
473	2629	2085
474	2634	2080
475	2640	2074
476	2645	2068
477	2651	2063
478	2656	2057
479	2661	2051
480	2666	2045
481	2671	2040
482	2677	2034
483	2683	2029
484	2689	2023
485	2694	2018
486	2700	2012
487	2706	2007
488	2711	2002
489	2717	1996
490	2722	1990
491	2728	1985
492	2733	1979
493	2738	1973
494	2744	1968
495	2749	1962
496	2755	1957
497	2760	1951
498	2766	1945
499	2771	1940
500	2777	1934
501	2782	1928
502	2788	1923
503	2793	1918
504	2799	1912
505	2805	1907
506	2811	1901
507	2816	1896
508	2821	1890
509	2826	1884
510	2831	1878
511	2837	1872
512	2843	1867
513	2848	1862
514	2854	1856
515	2860	1851
516	2866	1846
517	2871	1840
518	2876	1834
519	2882	1829
520	2887	1823
521	2892	1817
522	2897	1811
523	2903	1806
524	2908	1800
525	2914	1795
526	2920	1789
527	2925	1783
528	2930	1778
529	2935	1772
530	2941	1766
531	2946	1761
532	2952	1755
533	2957	1749
534	2962	1744
535	2967	1738
536	2973	1732
537	2978	1727
538	2983	1721
539	2989	1716
540	2994	1710
541	3000	1704
542	3005	1699
543	3011	1693
544	3016	1688
545	3021	1682
546	3026	1676
547	3031	1670
548	3037	1665
549	3043	1659
550	3048	1654
551	3054	1649
552	3060	1643
553	3065	1637
554	3070	1632
555	3076	1626
556	3081	1621
557	3087	1615
558	3092	1610
559	3098	1604
560	3103	1598
561	3108	1593
562	3114	1587
563	3119	1582
564	3125	1576
565	3130	1570
566	3136	1565
567	3142	1559
568	3147	1554
569	3152	1548
570	3158	1543
571	3162	1537
572	3168	1531
573	3173	1525
574	3179	1520
575	3184	1514
576	3190	1509
577	3195	1503
578	3201	1498
579	3207	1493
580	3212	1487
581	3217	1481
582	3222	1476
583	3228	1470
584	3233	1464
585	3239	1459
586	3244	1453
587	3250	1448
588	3256	1442
589	3261	1437
590	3266	1431
591	3272	1426
592	3278	1420
593	3283	1415
594	3288	1409
595	3294	1403
596	3299	1398
597	3304	1392
598	3310	1387
599	3316	1381
600	3322	1376
601	3327	1370
602	3333	1365
603	3338	1359
604	3344	1354
605	3349	1348
606	3355	1343
607	3360	1337
608	3366	1332
609	3371	1326
610	3376	1320
611	3382	1315
612	3387	1309
613	3392	1304
614	3398	1298
